Code,Name,PEratio,DividendYield,PBratio
1101,台泥,31.04,2.90,1.11
1102,亞泥,14.25,4.69,0.93
1103,嘉泥,625.00,2.67,0.59
1104,環泥,11.89,5.44,1.09
1108,幸福,13.18,5.88,1.44
1109,信大,10.26,6.03,0.82
1110,東泥,85.80,0.93,1.35
1201,味全,34.72,1.44,1.28
1203,味王,25.26,2.06,2.14
1210,大成,11.73,3.81,2.12
1213,大飲,,,2.09
1215,卜蜂,13.83,5.29,3.08
1216,統一,25.36,3.56,3.57
1217,愛之味,30.81,1.74,0.93
1218,泰山,72.83,,0.87
1219,福壽,20.67,4.30,1.34
1220,台榮,14.45,3.05,1.17
1225,福懋油,78.22,1.10,8.16
1227,佳格,26.71,2.96,2.12
1229,聯華,26.67,2.98,2.31
1231,聯華食,27.52,2.27,4.66
1232,大統益,20.69,4.47,4.15
1233,天仁,31.62,2.64,2.25
1234,黑松,19.01,4.31,0.98
1235,興泰,37.98,1.00,1.59
1236,宏亞,106.46,2.54,0.96
1256,鮮活果汁-KY,15.91,3.34,1.71
1301,台塑,69.88,1.75,1.08
1303,南亞,58.10,1.43,1.07
1304,台聚,,2.18,0.74
1305,華夏,130.00,2.07,1.03
1307,三芳,12.35,4.76,1.38
1308,亞聚,,2.49,0.83
1309,台達化,,1.68,1.08
1310,台苯,,,1.03
1312,國喬,,,0.49
1313,聯成,,1.60,0.54
1314,中石化,219.00,,0.52
1315,達新,19.25,6.94,0.67
1316,上曜,,,1.62
1319,東陽,17.49,3.65,2.42
1321,大洋,45.86,1.08,1.33
1323,永裕,33.61,3.31,1.13
1324,地球,32.95,1.38,1.13
1325,恆大,91.97,1.72,1.07
1326,台化,26.59,2.54,0.88
1337,再生-KY,,,0.46
1338,廣華-KY,,1.54,0.44
1339,昭輝,9.77,4.51,1.27
1340,勝悅-KY,,,0.46
1341,富林-KY,14.65,6.62,2.94
1342,八貫,15.43,5.04,4.21
1402,遠東新,23.88,3.62,0.86
1409,新纖,26.10,3.10,0.8
1410,南染,101.67,0.82,2.16
1413,宏洲,,,1.28
1414,東和,90.00,1.03,1.7
1416,廣豐,18.21,4.10,0.61
1417,嘉裕,,1.73,0.84
1418,東華,76.76,,1.72
1419,新紡,22.65,2.44,1.07
1423,利華,105.81,1.32,1.53
1432,大魯閣,36.90,,2.16
1434,福懋,71.09,2.20,0.76
1435,中福,,,5.01
1436,華友聯,18.99,3.97,5.54
1437,勤益控,12.51,3.00,0.99
1438,三地開發,,,3.08
1439,雋揚,14.43,1.03,1.01
1440,南紡,11.88,1.98,1.01
1441,大東,,,2.97
1442,名軒,10.84,5.65,2.94
1443,立益物流,17.93,,2.12
1444,力麗,127.50,,0.93
1445,大宇,2.50,13.16,0.93
1446,宏和,16.26,1.43,3.73
1447,力鵬,,,1.0
1449,佳和,21.52,0.20,1.03
1451,年興,,2.49,0.59
1452,宏益,36.96,1.76,0.82
1453,大將,35.21,1.18,1.87
1454,台富,58.09,1.27,1.52
1455,集盛,,,1.18
1456,怡華,93.18,0.98,1.31
1457,宜進,8.81,6.90,0.93
1459,聯發,100.00,,1.24
1460,宏遠,,,0.93
1463,強盛,41.48,2.23,1.6
1464,得力,94.33,1.77,1.11
1465,偉全,17.17,3.24,0.98
1466,聚隆,,,0.98
1467,南緯,,,0.98
1468,昶和,34.66,,1.96
1470,大統新創,40.19,2.72,1.89
1471,首利,,,1.66
1472,三洋實業,16.29,2.88,2.01
1473,台南,14.16,2.78,1.57
1474,弘裕,32.84,,0.89
1475,業旺,12.42,3.25,2.95
1476,儒鴻,25.46,2.52,6.23
1477,聚陽,24.64,3.87,7.79
1503,士電,56.10,1.02,3.87
1504,東元,21.02,4.12,1.51
1506,正道,66.35,,1.93
1512,瑞利,,,2.38
1513,中興電,55.92,1.77,5.41
1514,亞力,45.66,1.18,7.12
1515,力山,13.55,2.56,2.21
1516,川飛,46.04,1.27,2.02
1517,利奇,,1.14,1.06
1519,華城,82.32,0.75,48.15
1521,大億,55.42,1.75,1.68
1522,堤維西,16.08,2.80,2.47
1524,耿鼎,12.21,3.68,2.18
1525,江申,21.33,4.37,1.13
1526,日馳,,1.86,1.38
1527,鑽全,14.38,4.42,1.29
1528,恩德,,0.67,1.21
