Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
0050,元大台灣50,10250583,1969313776,192.60,192.85,191.55,191.80,-0.7,14725
0051,元大中型100,50538,4323510,85.65,85.65,85.35,85.55,0.3,270
0052,富邦科技,957307,182008989,191.40,191.40,189.70,189.80,-0.9,1526
0053,元大電子,11107,1160069,104.45,104.50,104.45,104.50,0.3,140
0055,元大MSCI金融,206100,5910751,28.64,28.76,28.63,28.70,0.12,293
0056,元大高股息,36938826,1548516180,41.90,42.01,41.85,41.94,0.06,23097
0057,富邦摩台,24317,3427109,141.25,141.25,140.80,141.05,-0.2,93
0061,元大寶滬深,376929,6297952,16.82,16.86,16.66,16.66,-0.21,246
006203,元大MSCI台灣,4934,446414,90.60,90.60,90.50,90.50,0.1,98
006204,永豐臺灣加權,5160,606132,117.95,117.95,117.40,117.40,0.15,110
006205,富邦上証,676249,19624049,29.33,29.33,28.82,28.93,-0.4,310
006206,元大上證50,140999,3901283,28.03,28.03,27.51,27.76,-0.29,163
006207,復華滬深,247452,5351199,21.90,21.90,21.50,21.60,-0.3,63
006208,富邦台50,7898140,888898144,112.70,112.95,112.30,112.40,-0.25,14189
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,2752178,727842855,265.15,265.90,263.00,263.20,-1.5,4858
00632R,元大台灣50反1,102158423,338010503,3.31,3.32,3.30,3.31,0.0,3325
00633L,富邦上証正2,11610615,379565275,33.50,33.70,32.25,32.37,-1.21,2827
00634R,富邦上証反1,520310,2460554,4.67,4.76,4.67,4.74,0.07,36
00635U,期元大S&P黃金,341774,9492329,27.78,27.81,27.73,27.80,0.05,127
00636,國泰中國A50,4294918,86736793,20.53,20.53,20.08,20.15,-0.4,804
00636K,國泰中國A50+U,200,1244,6.22,6.22,6.22,6.22,-0.11,2
00637L,元大滬深300正2,125848361,1650435860,13.47,13.53,12.96,12.98,-0.5,13216
00638R,元大滬深300反1,479250,4725890,9.76,9.93,9.74,9.92,0.15,81
00639,富邦深100,1613329,16033256,10.03,10.03,9.88,9.94,-0.12,417
00640L,富邦日本正2,656900,41647288,63.60,63.85,63.00,63.10,-0.7,321
00641R,富邦日本反1,379343,2322455,6.12,6.14,6.10,6.13,0.02,73
00642U,期元大S&P石油,1957216,37061278,18.97,18.98,18.88,18.90,0.07,393
00643,群益深証中小,1404691,15493189,11.14,11.14,10.93,11.02,-0.14,265
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,1463188,58489856,40.10,40.12,39.83,39.85,-0.19,548
00646,元大S&P500,4075281,228847677,56.20,56.25,56.00,56.20,-0.1,1725
00647L,元大S&P500正2,204499,18692957,91.40,91.50,91.30,91.50,0.05,59
00648R,元大S&P500反1,123250,674709,5.47,5.48,5.47,5.48,0.01,23
00650L,復華香港正2,23994220,245448366,10.39,10.43,10.10,10.10,-0.17,1789
00651R,復華香港反1,526800,4610732,8.74,8.81,8.68,8.81,0.07,83
00652,富邦印度,492124,19549049,39.94,39.94,39.61,39.67,-0.29,468
00653L,富邦印度正2,186115,12031804,64.90,65.00,64.25,64.70,-0.4,161
00654R,富邦印度反1,37000,235700,6.36,6.38,6.36,6.37,0.03,12
00655L,國泰中國A50正2,6056827,134815505,22.81,22.96,21.94,22.05,-0.79,1256
00656R,國泰中國A50反1,456009,4036310,8.75,8.92,8.75,8.91,0.18,58
00657,國泰日經225,46387,2219477,47.83,47.98,47.70,47.83,0.0,99
00657K,國泰日經225+U,200,2942,14.71,14.71,14.71,14.71,0.04,2
00660,元大歐洲50,17052,615701,36.05,36.20,36.05,36.15,0.28,99
00661,元大日經225,731935,38295899,52.35,52.50,52.15,52.20,-0.1,254
00662,富邦NASDAQ,2819060,237989348,84.45,84.55,84.25,84.40,-0.25,1498
00663L,國泰臺灣加權正2,13019,3140296,241.10,241.45,241.10,241.25,0.45,12
00664R,國泰臺灣加權反1,5321264,19982307,3.76,3.77,3.75,3.76,0.01,233
00665L,富邦恒生國企正2,50653448,351666599,7.03,7.10,6.83,6.85,-0.12,3304
00666R,富邦恒生國企反1,100000,1443230,14.41,14.63,14.35,14.63,0.11,35
00668,國泰美國道瓊,40420,1875320,46.46,46.46,46.32,46.38,-0.08,92
00668K,國泰美國道瓊+U,200,2860,14.30,14.30,14.30,14.30,0.03,2
00669R,國泰美國道瓊反1,2227020,15913413,7.15,7.16,7.14,7.15,-0.02,79
00670L,富邦NASDAQ正2,516461,68527720,132.65,132.95,132.55,132.95,0.3,363
00671R,富邦NASDAQ反1,2528698,9289920,3.68,3.68,3.67,3.68,0.0,120
00673R,期元大S&P原油反1,25881724,178858851,6.91,6.93,6.90,6.93,-0.03,1564
00674R,期元大S&P黃金反1,707005,7472092,10.59,10.59,10.55,10.57,-0.02,142
00675L,富邦臺灣加權正2,2184816,231205245,106.20,106.40,105.25,105.35,-0.55,2735
00676R,富邦臺灣加權反1,4360000,9107190,2.08,2.10,2.08,2.09,0.01,145
00678,群益那斯達克生技,279357,8024215,28.76,28.77,28.70,28.77,-0.06,48
00680L,元大美債20正2,26237344,221652428,8.45,8.47,8.43,8.46,0.02,2279
00681R,元大美債20反1,179000,3675380,20.54,20.56,20.53,20.56,-0.04,11
00682U,期元大美元指數,9010,191552,21.27,21.27,21.25,21.25,-0.06,7
00683L,期元大美元指正2,93000,2142470,23.08,23.08,23.01,23.01,-0.15,23
00684R,期元大美元指反1,5000,76500,15.30,15.30,15.30,15.30,0.0,3
00685L,群益臺灣加權正2,387662,36512533,94.50,94.70,93.65,93.75,-0.55,303
00686R,群益臺灣加權反1,367153,823660,2.24,2.25,2.23,2.24,-0.01,32
00688L,國泰20年美債正2,15295132,128551244,8.39,8.43,8.38,8.43,0.04,1078
00689R,國泰20年美債反1,1000,21290,21.29,21.29,21.29,21.29,-0.05,1
00690,兆豐藍籌30,582809,21179998,36.42,36.45,36.27,36.32,-0.1,402
00692,富邦公司治理,2377372,107978876,45.44,45.60,45.31,45.31,-0.12,1986
00693U,期街口S&P黃豆,130250,2998336,23.05,23.06,22.98,23.06,0.05,55
00700,富邦恒生國企,340518,4407710,13.05,13.11,12.83,12.85,-0.16,137
00701,國泰股利精選30,485119,14207891,29.24,29.35,29.23,29.25,0.05,527
00702,國泰標普低波高息,167278,3888686,23.34,23.34,23.14,23.28,-0.02,110
00703,台新MSCI中國,58228,898117,15.55,15.55,15.34,15.35,-0.21,13
00706L,期元大S&P日圓正2,3550483,20510562,5.75,5.80,5.75,5.79,0.06,534
00707R,期元大S&P日圓反1,,,,,,,0.0,
00708L,期元大S&P黃金正2,1037842,35338937,34.00,34.13,33.93,34.13,0.22,193
00709,富邦歐洲,64550,1943264,30.00,30.22,30.00,30.22,0.27,121
00710B,復華彭博非投等債,287040,5578520,19.45,19.45,19.42,19.44,-0.04,76
00711B,復華彭博新興債,160251,2620624,16.36,16.37,16.35,16.37,-0.04,74
00712,復華富時不動產,11430583,108870419,9.54,9.55,9.52,9.53,-0.01,4277
00713,元大台灣高息低波,9407043,557305506,59.15,59.40,59.05,59.20,0.2,6931
00714,群益道瓊美國地產,473354,9268379,19.62,19.62,19.56,19.59,-0.05,96
00715L,期街口布蘭特正2,7456732,135019586,18.21,18.21,17.99,18.02,0.08,761
00717,富邦美國特別股,179391,2877774,16.07,16.07,16.03,16.05,-0.03,101
00728,第一金工業30,660028,22137614,33.50,33.61,33.49,33.52,0.07,267
00730,富邦臺灣優質高息,158117,3724408,23.61,23.70,23.51,23.52,-0.05,198
00731,復華富時高息低波,779396,61705110,79.20,79.35,79.00,79.20,0.25,406
00733,富邦臺灣中小,2474566,151060308,60.85,61.15,60.85,61.00,0.3,1704
00735,國泰臺韓科技,3954627,163864477,39.83,44.18,39.81,43.95,4.49,1967
00736,國泰新興市場,121115,2800273,23.17,23.17,23.07,23.07,-0.1,8
00737,國泰AI+Robo,61361,1877784,30.63,30.63,30.59,30.60,-0.03,111
00738U,期元大道瓊白銀,704835,19671770,27.92,27.98,27.80,27.96,0.17,183
