出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1130617,11305,1101,台泥,水泥工業,13860276,11626493,9596091,19.21287012343275,44.43668781381919,51172432,45057867,13.570471500570589,-
1130617,11305,1102,亞泥,水泥工業,6459670,5686606,7238507,13.594470937497691,-10.759635930448088,28646108,33616090,-14.784533239886018,-
1130617,11305,1103,嘉泥,水泥工業,243833,238141,227797,2.3901806072872795,7.039601048301777,1181116,1099471,7.425843883103783,-
1130617,11305,1104,環泥,水泥工業,743116,686687,671021,8.217572198104813,10.744075073656413,3338375,3150457,5.964785426368302,-
1130617,11305,1108,幸福,水泥工業,435713,426739,482963,2.1029247385404193,-9.783358145447995,2055420,1971812,4.240160826691389,-
1130617,11305,1109,信大,水泥工業,516800,441921,627486,16.943978674921535,-17.639596740006947,2055791,2514021,-18.226975828761972,-
1130617,11305,1110,東泥,水泥工業,204577,207095,213937,-1.215867114126367,-4.375119778252476,988568,961547,2.8101590457876733,-
1130617,11305,1201,味全,食品工業,2067265,1888811,1760630,9.447954295056519,17.41620897065255,9290525,8234036,12.830755172797398,-
1130617,11305,1203,味王,食品工業,512093,492424,552211,3.9943219664354297,-7.264976612200771,2563178,2634731,-2.7157611156508956,-
1130617,11305,1210,大成,食品工業,8612403,8589785,9815309,0.26331276044743845,-12.25540632495625,42506279,45820961,-7.233986209935667,-
1130617,11305,1213,大飲,食品工業,16426,12478,13163,31.63968584709088,24.789181797462586,62252,120066,-48.15184981593457,營收大幅衰退，係因112年4月下旬至11月中旬暫時停工無產品銷售所致。
1130617,11305,1215,卜蜂,食品工業,2366427,2198777,2519816,7.624693181709651,-6.08730954958616,11477311,12222464,-6.096585762085288,-
1130617,11305,1216,統一,食品工業,54792810,52338982,46350796,4.688337270296927,18.21330964844703,265889799,221824219,19.865089663631363,-
1130617,11305,1217,愛之味,食品工業,444968,353181,396832,25.988657373981045,12.13007015563261,1957327,1910860,2.4317323090126957,-
1130617,11305,1218,泰山,食品工業,827689,884611,871543,-6.4346927632597835,-5.03176550095635,4469148,4339483,2.9880287582645213,-
1130617,11305,1219,福壽,食品工業,1214397,1214607,1442360,-0.017289543037377522,-15.804861477023767,5999939,6988970,-14.151312711315114,-
1130617,11305,1220,台榮,食品工業,292960,253570,280527,15.534172023504357,4.432015456622714,1311899,1201809,9.160357427844191,-
1130617,11305,1225,福懋油,食品工業,1016515,1076322,1233009,-5.556608524214872,-17.558184895649585,5436735,6139163,-11.441755170859611,-
1130617,11305,1227,佳格,食品工業,2314332,2083668,2136966,11.070093700148009,8.29989807980099,11193849,10085508,10.98944148376066,-
1130617,11305,1229,聯華,食品工業,1066638,1132924,993539,-5.850877905314037,7.357436396558162,5250063,4711706,11.425946355736118,-
1130617,11305,1231,聯華食,食品工業,923424,859339,793134,7.4574760368143425,16.42723675948831,4688223,4374939,7.160876985941975,-
1130617,11305,1232,大統益,食品工業,1848037,1793456,1998466,3.043342016754244,-7.527223380332715,9267840,9995235,-7.27741768952906,-
1130617,11305,1233,天仁,食品工業,182752,171314,173923,6.676628880301668,5.076384376994417,936257,864155,8.343642054955419,-
1130617,11305,1234,黑松,食品工業,810162,667933,775650,21.29390223270897,4.449429510732934,4117494,4014478,2.5661119577688556,-
1130617,11305,1235,興泰,食品工業,3771,9192,3193,-58.97519582245431,18.10209834011901,30224,11186,170.19488646522439,增加子公司泰宇網通1-5月營收2061萬
1130617,11305,1236,宏亞,食品工業,130569,111821,131830,16.766081505262875,-0.9565349313509823,815992,754849,8.10003060214692,-
1130617,11305,1256,鮮活果汁-KY,食品工業,343021,438938,452538,-21.852061111136425,-24.200619616474196,1653089,1755830,-5.851420695625431,-
1130617,11305,1301,台塑,塑膠工業,17396479,16660677,16356337,4.416399165532109,6.359260022583296,82165649,84766274,-3.067994943366273,-
1130617,11305,1303,南亞,塑膠工業,22713683,21880031,22593257,3.8101042909856937,0.5330174396723766,103223622,109721782,-5.922397432444179,-
1130617,11305,1304,台聚,塑膠工業,4542986,4378948,4495696,3.7460595558567946,1.0518949679871592,20946497,21944695,-4.548698443974728,-
1130617,11305,1305,華夏,塑膠工業,1015541,913376,1176829,11.185426374242372,-13.705304678929565,4833421,6105552,-20.835642706834697,-
1130617,11305,1307,三芳,塑膠工業,857628,897989,823622,-4.494598486172993,4.1288358008892425,4359727,4172618,4.4842111115851,-
1130617,11305,1308,亞聚,塑膠工業,446056,525514,592132,-15.120053890096173,-24.669499368384077,2532800,2684125,-5.637777674288642,-
1130617,11305,1309,台達化,塑膠工業,1683225,1619466,1247913,3.9370385052850754,34.88320099237687,7093624,6089788,16.483923578292053,-
1130617,11305,1310,台苯,塑膠工業,1191533,1027429,711900,15.972295895872124,67.37364798426745,4442096,3994096,11.216555636118912,與去年同期相比，本月SM價格增加44%、銷量增加19%及匯率平均上升5.2%，以致5月營收較去年同期增加67.37%。
1130617,11305,1312,國喬,塑膠工業,1744102,1686181,1370520,3.4350404849775913,27.258412865189854,6685379,6998826,-4.478565405112229,-
1130617,11305,1313,聯成,塑膠工業,6951456,6988675,5715364,-0.532561608602489,21.627528885299345,32071050,27918140,14.875310461227002,-
1130617,11305,1314,中石化,塑膠工業,3133666,2792929,2324331,12.199987898009581,34.82012673754298,14118455,9934959,42.108840106939546,-
1130617,11305,1315,達新,塑膠工業,185152,138601,279353,33.586337760910816,-33.72113419222274,779025,961567,-18.98380456068064,-
1130617,11305,1316,上曜,建材營造,100782,118756,42591,-15.135235272323083,136.6274565048954,447239,446025,0.2721820525755283,主因子公司營收上升，致本月營收較去年同期增加。
1130617,11305,1319,東陽,汽車工業,2146316,2106026,1869457,1.91308179481165,14.809594443734197,10426514,9222898,13.050301542964045,-
1130617,11305,1321,大洋,塑膠工業,498956,388612,428661,28.394388232993318,16.398739330146665,1999421,2146918,-6.87017389578922,-
1130617,11305,1323,永裕,塑膠工業,268716,241156,284140,11.428287083879315,-5.4283099880340675,1274949,1355523,-5.944126363034784,-
1130617,11305,1324,地球,塑膠工業,81349,61478,80437,32.322131494193044,1.1338065815482925,341983,378673,-9.68909850979605,-
1130617,11305,1325,恆大,塑膠工業,26823,24047,38968,11.544059550047823,-31.166598234448777,147247,177676,-17.1261172020982,-
1130617,11305,1326,台化,塑膠工業,33036547,32147249,24506583,2.766326910274655,34.806827210468306,149125489,133044626,12.086818899396958,-
1130617,11305,1337,再生-KY,塑膠工業,61862,62567,59092,-1.1267920788914283,4.687605767278143,382664,267253,43.18417379786195,-
1130617,11305,1338,廣華-KY,汽車工業,428239,470423,453761,-8.967248625173514,-5.624546842941548,2068485,2300535,-10.086784161075576,-
1130617,11305,1339,昭輝,汽車工業,156096,156949,169218,-0.5434886491790327,-7.754494202744389,825122,818848,0.7661983664855992,-
1130617,11305,1340,勝悅-KY,塑膠工業,42775,41263,54312,3.664299735840826,-21.242082780969216,160236,226177,-29.154600158283113,-
1130617,11305,1341,富林-KY,塑膠工業,220541,282980,193594,-22.064810233938793,13.919336343068483,1109144,1031734,7.502902880005893,-
1130617,11305,1342,八貫,其他,238607,179241,178409,33.12077035946017,33.74157133328475,1038131,1035701,0.23462369931090152,-
1130617,11305,1402,遠東新,紡織纖維,22848498,21957868,21526680,4.056085955157395,6.14037092575353,110215556,103144021,6.85598150182646,-
1130617,11305,1409,新纖,紡織纖維,3988049,3770037,3191580,5.782754917259433,24.955319935580498,18644985,15357201,21.408744992007332,-
1130617,11305,1410,南染,紡織纖維,18699,16740,23932,11.702508960573477,-21.86612067524653,90174,93598,-3.658197824739845,-
1130617,11305,1413,宏洲,紡織纖維,162317,181927,139321,-10.779048739329511,16.5057672569103,967616,775465,24.778810133274874,-
1130617,11305,1414,東和,紡織纖維,51018,50860,54862,0.3106567046795124,-7.006671284313368,241999,232545,4.0654496979079315,-
1130617,11305,1416,廣豐,其他,28241,23718,22912,19.069904713719538,23.258554469273744,131069,122268,7.1981221578826835,-
1130617,11305,1417,嘉裕,紡織纖維,55508,51383,154036,8.027946986357355,-63.964268093173025,344513,710195,-51.49036532220024,因結束國軍服裝供售業務，致使營收減少
1130617,11305,1418,東華,紡織纖維,1343,590,244,127.62711864406779,450.40983606557376,5794,12021,-51.8010148906081,因配合客戶生產線出貨及去年同期銷庫存。
1130617,11305,1419,新紡,紡織纖維,355089,300444,216761,18.188081639174023,63.81590784320058,1517158,1285294,18.039763664966927,客戶訂單量增加
1130617,11305,1423,利華,紡織纖維,7435,5994,6951,24.040707374040707,6.963026902603942,53617,53543,0.13820667500887138,-
1130617,11305,1432,大魯閣,運動休閒,95695,103000,97945,-7.092233009708738,-2.2972076165194752,520792,516916,0.7498316941243839,-
1130617,11305,1434,福懋,紡織纖維,2601361,2619806,2473663,-0.7040597662575016,5.162303838477594,12390998,12576225,-1.4728346542782114,-
1130617,11305,1435,中福,其他,1023,1025,750,-0.1951219512195122,36.4,4698,3726,26.08695652173913,-
1130617,11305,1436,華友聯,建材營造,833392,411150,25378,102.69779885686489,3183.915202143589,1264627,73414,1622.5965074781377,本月及累計營收較去年同期增加，係今年交屋數量較去年同期增加所致。
1130617,11305,1437,勤益控,其他,69641,62359,55198,11.67754454048333,26.16580310880829,309388,283007,9.321677555678836,-
